wavelength,flux
891.1,0.033941405
891.7,0.025426871
892.4,0.033636225
893.1,0.029455253
893.7,0.026723888
894.4,0.025167468
895.1,0.034689097
895.7,0.031911955
896.4,0.029028
897.1,0.028356603
897.7,0.035467308
898.4,0.032140841
899.1,0.025426871
899.7,0.02638819
